;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Unnamed: 0.1.1.1;Unnamed: 0.1.1.1.1;lp;nazwa;login;password;lastactivity
0;0;0;0;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.637193
1;1;1;1;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.501988
2;2;2;2;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.653398
3;3;3;3;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.511648
4;4;4;0;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.661100
5;5;5;1;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.518499
6;6;6;2;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.667246
7;7;7;3;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.527781
8;8;9;pawel;pawel@local;pawel;;;;;
9;9;0;0;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.637193
10;10;1;1;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.534964
11;11;2;2;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.653398
12;12;3;3;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.541505
13;13;4;0;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.661100
14;14;5;1;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.551234
15;15;6;2;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.667246
16;16;7;3;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.557610
17;17;9;pawel;pawel@local;pawel;;;;;2021-02-15 12:29:57.420791
0;0;0;0;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.637193
1;1;1;1;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.501988
2;2;2;2;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.653398
3;3;3;3;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.511648
4;4;4;0;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.661100
5;5;5;1;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.518499
6;6;6;2;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.667246
7;7;7;3;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.527781
8;8;9;pawel;pawel@local;pawel;;;;;
9;9;0;0;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.637193
10;10;1;1;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.534964
11;11;2;2;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.653398
12;12;3;3;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.541505
13;13;4;0;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.661100
14;14;5;1;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.551234
15;15;6;2;0;0;1.0;root;root@local;root;2021-02-15 12:29:10.667246
16;16;7;3;1;1;3.0;mikolaj;mikolaj@local;mikolaj;2021-02-15 12:47:32.557610
17;17;9;pawel;pawel@local;pawel;;;;;2021-02-15 22:53:04.096714
